26222,34016,33530,30860,37414,43639,35945
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 18,i:1 18,i:1 18,i:1 18,i:1 18,i:1 18,i:1 18
i:2 59,i:2 60,i:2 52,i:2 60,i:2 57,i:2 54,i:2 58
i:3 217,i:3 223,i:3 166,i:3 225,i:3 206,i:3 178,i:3 205
i:4 762,i:4 798,i:4 529,i:4 783,i:4 703,i:4 580,i:4 693
i:5 2284,i:5 2483,i:5 1521,i:5 2288,i:5 2080,i:5 1747,i:5 2071
i:6 5114,i:6 6034,i:6 3712,i:6 5162,i:6 4989,i:6 4580,i:6 5089
i:7 7489,i:7 9956,i:7 7243,i:7 8192,i:7 9026,i:7 9552,i:7 9383
i:8 6432,i:8 9545,i:8 10228,i:8 8627,i:8 11110,i:8 13645,i:8 10923
i:9 3400,i:9 4335,i:9 8165,i:9 4694,i:9 7574,i:9 10483,i:9 6271
i:10 439,i:10 559,i:10 1806,i:10 772,i:10 1556,i:10 2648,i:10 1191
i:11 7,i:11 4,i:11 89,i:11 38,i:11 93,i:11 151,i:11 42
i:12 0,i:12 0,i:12 0,i:12 0,i:12 1,i:12 2,i:12 0
i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0
i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0
i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0
i:16 0,i:16 0,i:16 0,i:16 0,i:16 0,i:16 0,i:16 0
i:17 0,i:17 0,i:17 0,i:17 0,i:17 0,i:17 0,i:17 0
i:18 0,i:18 0,i:18 0,i:18 0,i:18 0,i:18 0,i:18 0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

828,1259,1056,1114,1184,1213,795
93222,102873,95787,90748,123030,109028,77020
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 20,i:1 20,i:1 20,i:1 20,i:1 20,i:1 20,i:1 20
i:2 68,i:2 67,i:2 71,i:2 70,i:2 66,i:2 66,i:2 79
i:3 265,i:3 255,i:3 274,i:3 280,i:3 243,i:3 242,i:3 346
i:4 1007,i:4 950,i:4 1034,i:4 1097,i:4 901,i:4 879,i:4 1387
i:5 3395,i:5 3197,i:5 3548,i:5 3784,i:5 3124,i:5 2947,i:5 4608
i:6 9268,i:6 8971,i:6 10105,i:6 10596,i:6 9448,i:6 8624,i:6 11770
i:7 19051,i:7 19553,i:7 21618,i:7 21976,i:7 22841,i:7 20358,i:7 21209
i:8 27702,i:8 30849,i:8 30881,i:8 29711,i:8 38617,i:8 33870,i:8 23488
i:9 25093,i:9 29007,i:9 23381,i:9 19208,i:9 35807,i:9 31666,i:9 12401
i:10 6783,i:10 9122,i:10 4680,i:10 3869,i:10 11123,i:10 9571,i:10 1676
i:11 564,i:11 873,i:11 174,i:11 136,i:11 836,i:11 776,i:11 35
i:12 5,i:12 8,i:12 0,i:12 0,i:12 3,i:12 8,i:12 0
i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0
i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0
i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0
