3290,3823,2911,3916,3479,2392,3046
380907,360916,375722,457758,427870,260123,313413
i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1,i:0 1
i:1 23,i:1 23,i:1 23,i:1 23,i:1 23,i:1 23,i:1 23
i:2 91,i:2 89,i:2 92,i:2 88,i:2 90,i:2 101,i:2 96
i:3 416,i:3 392,i:3 423,i:3 387,i:3 403,i:3 498,i:3 448
i:4 1861,i:4 1709,i:4 1881,i:4 1677,i:4 1775,i:4 2306,i:4 1985
i:5 7454,i:5 6672,i:5 7388,i:5 6668,i:5 7068,i:5 9076,i:5 7672
i:6 24747,i:6 21832,i:6 24108,i:6 22969,i:6 23955,i:6 28075,i:6 24421
i:7 63253,i:7 56580,i:7 61430,i:7 63878,i:7 64630,i:7 62640,i:7 59990
i:8 113403,i:8 107470,i:8 111876,i:8 129474,i:8 125112,i:8 87443,i:8 101219
i:9 121666,i:9 119082,i:9 121378,i:9 158797,i:9 143305,i:9 58325,i:9 92021
i:10 43194,i:10 42609,i:10 42549,i:10 65622,i:10 55081,i:10 11230,i:10 24004
i:11 4732,i:11 4421,i:11 4521,i:11 8057,i:11 6331,i:11 405,i:11 1524
i:12 66,i:12 36,i:12 52,i:12 117,i:12 96,i:12 0,i:12 9
i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0,i:13 0
i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0,i:14 0
i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0,i:15 0
i:16 0,i:16 0,i:16 0,i:16 0,i:16 0,i:16 0,i:16 0
i:17 0,i:17 0,i:17 0,i:17 0,i:17 0,i:17 0,i:17 0
i:18 0,i:18 0,i:18 0,i:18 0,i:18 0,i:18 0,i:18 0
i:19 0,i:19 0,i:19 0,i:19 0,i:19 0,i:19 0,i:19 0
i:20 0,i:20 0,i:20 0,i:20 0,i:20 0,i:20 0,i:20 0
i:21 0,i:21 0,i:21 0,i:21 0,i:21 0,i:21 0,i:21 0
i:22 0,i:22 0,i:22 0,i:22 0,i:22 0,i:22 0,i:22 0
i:23 0,i:23 0,i:23 0,i:23 0,i:23 0,i:23 0,i:23 0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

