17,19,14,0,13,0,14
110694,108493,110694,511,108493,511,107700
0,0,0,0,0,0,0
20,20,20,9,20,9,20
67,64,67,36,64,36,67
268,253,268,84,253,84,270
1050,966,1050,126,966,126,1063
3734,3411,3734,126,3411,126,3800
11151,10118,11151,84,10118,84,11323
25484,23512,25484,36,23512,36,25584
39052,37181,39052,9,37181,9,38021
28464,30904,28464,1,30904,1,26304
1404,2064,1404,,2064,,1248
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
0,0,0,,0,,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

83,118,0
636486,973550,0
0,0,0
24,25,
96,100,
464,500,
2226,2450,
9864,11310,
37444,44800,
111192,142900,
228072,321800,
229824,405025,
17280,44640,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
,0,
,,
,,
,,
,,
,,
,,
,,
,,
,,

0,0
1584,0
0,0
12,
36,
100,
270,
492,
482,
192,
0,
0,
0,
0,
0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,

0,0
1584,0
0,0
12,
36,
100,
270,
492,
482,
192,
0,
0,
0,
0,
0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,

0
0
0



































0
0
0



































