131,195,31,0,3,2,34
1013526,1660550,227146,511,18006,18006,227146
24,25,21,9,16,16,21
0,0,0,0,0,0,0
24,25,21,9,16,16,21
96,100,84,36,64,64,84
464,500,364,84,224,224,364
2226,2450,1617,126,812,812,1617
9864,11310,6258,126,2352,2352,6258
37924,45400,20391,84,4536,4536,20391
116952,150100,49080,36,5392,5392,49080
262632,368600,73920,9,3586,3586,73920
347904,580225,58401,1,1024,1024,58401
194400,386040,17010,,0,0,17010
40320,108000,0,,0,0,0
720,7800,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,,,,,
0,0,,,,,
0,0,,,,,
,0,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

